"","lhs","rhs","support","confidence","coverage","lift","count"
"1","{782703218926}","{264200301000}",0.00010163106568077,0.849056603773585,0.000119698810690685,9.15573378402037,45
"2","{830216500817}","{264200301000}",0.00010163106568077,0.818181818181818,0.000124215746943163,8.82279801005599,45
"3","{220651500010}","{264200301000}",0.000103889533807009,0.836363636363636,0.000124215746943163,9.01886018805724,46
"4","{130117600000}","{264200301000}",0.000112923406311967,0.819672131147541,0.000137766555700599,8.83886868038396,50
"5","{220232300000}","{264200301000}",0.000126474215069403,0.8,0.000158092768836753,8.62673583205475,56
"6","{276709201000}","{264200301000}",0.000106148001933249,0.810344827586207,0.000130991151321881,8.7382884505727,47
"7","{220650300011}","{264200301000}",0.000106148001933249,0.92156862745098,0.000115181874438206,9.93766137516111,47
"8","{227250013311}","{264200301000}",0.000103889533807009,0.867924528301887,0.000119698810690685,9.35919453477638,46
"9","{111481800300}","{264200301000}",0.000112923406311967,0.862068965517241,0.000130991151321881,9.29605154316244,50
"10","{250202730000}","{264200301000}",0.00010163106568077,0.803571428571429,0.000126474215069403,8.66524804559071,45
"11","{233030389500}","{264200301000}",0.000124215746943163,0.808823529411765,0.000153575832584275,8.72188365373182,55
"12","{271411701000}","{264200301000}",0.000103889533807009,0.851851851851852,0.000121957278816924,9.1858761174657,46
"13","{521067800000}","{264200301000}",0.000103889533807009,0.92,0.000112923406311967,9.92074620686296,46
"14","{114033205500}","{264200301000}",0.000119698810690685,0.854838709677419,0.000140025023826839,9.21808465925205,53
"15","{220222000031}","{264200301000}",0.00010163106568077,0.803571428571429,0.000126474215069403,8.66524804559071,45
"16","{212496602500}","{271500513200}",0.000108406470059488,0.842105263157895,0.000128732683195642,12.1351846713053,48
"17","{521079600000}","{264200301000}",0.000106148001933249,0.839285714285714,0.000126474215069403,9.05037018095029,47
"18","{205332100000}","{264200301000}",0.000112923406311967,0.833333333333333,0.00013550808757436,8.98618315839036,50
"19","{705909600000}","{274502501000}",0.000103889533807009,0.807017543859649,0.000128732683195642,12.3178880359574,46
"20","{705909600000}","{264200301000}",0.000103889533807009,0.807017543859649,0.000128732683195642,8.70240895338856,46
"21","{243149180000}","{264200301000}",0.00010163106568077,0.849056603773585,0.000119698810690685,9.15573378402037,45
"22","{210421406500}","{264200301000}",0.000106148001933249,0.810344827586207,0.000130991151321881,8.7382884505727,47
"23","{220250055511}","{264200301000}",0.000106148001933249,0.824561403508772,0.000128732683195642,8.89159175672309,47
"24","{514922700000}","{264200301000}",0.000112923406311967,0.806451612903226,0.000140025023826839,8.69630628231325,50
"25","{702942200000}","{264200301000}",0.000124215746943163,0.808823529411765,0.000153575832584275,8.72188365373182,55
